abbreviation,name,CASRN,class,smiles,pubchem_name,pubchem_cids,pubchem_smiles,similar_smiles,pubchem_n_literature,pubchem_n_transformation
PFOA,Perfluorooctanoic acid,335-67-1,perfluoroalkyl carboxylic acid,FC(C(=O)O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,Perfluorooctanoic acid,[9554],C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,True,4639,34
PFOS,Perfluorooctanesulfonic acid,1763-23-1,perfluoroalkyl sulfonic acid,FC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(S(=O)(=O)O)F,Perfluorooctanesulfonic acid,[74483],C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,True,3605,28
PFBA,Perfluorobutanoic acid,375-22-4,perfluoroalkyl carboxylic acid,FC(C(=O)O)(C(C(F)(F)F)(F)F)F,Perfluorobutanoic acid,[9777],C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,True,1390,14
PFNA,Perfluorononanoic acid,375-95-1,perfluoroalkyl carboxylic acid,FC(C(=O)O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,Perfluorononanoic acid,[67821],C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,True,948,3
PFDA,Perfluorodecanoic acid,335-76-2,perfluoroalkyl carboxylic acid,FC(C(=O)O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,Perfluorodecanoic acid,[9555],C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,True,797,0
PFHxS,Perfluorohexanesulfonic acid,355-46-4,perfluoroalkyl sulfonic acid,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(S(=O)(=O)O)F,Perfluorohexanesulfonic acid,[67734],C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,True,689,6
PFHpA,Perfluoroheptanoic acid,375-85-9,perfluoroalkyl carboxylic acid,FC(C(=O)O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F,Perfluoroheptanoic acid,[67818],C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,True,600,12
PFHxA,Perfluorohexanoic acid,307-24-4,perfluoroalkyl carboxylic acid,FC(C(=O)O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,Perfluorohexanoic acid,[67542],C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,True,564,22
PFOSA,Perfluorooctanesulfonamide,754-91-6,perfluorooctane sulfonamide,FC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(S(=O)(=O)N)F,Perfluorooctanesulfonamide,[69785],C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,True,456,20
PFBS,Perfluorobutanesulfonic acid,375-73-5,perfluoroalkyl sulfonic acid,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)O)F,Perfluorobutanesulfonic acid,[67815],C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,True,443,4
